k l mode
37 44 532
37 43 533
37 42 534
37 41 535
37 40 536
37 39 537
37 38 538
37 37 539
37 36 540
37 35 541
37 34 542
37 33 543
37 32 544
37 31 545
37 30 546
37 29 547
37 28 548
37 27 549
37 26 550
37 25 551
37 24 552
37 23 553
37 22 554
37 21 555
37 20 556
37 19 557
37 18 558
37 17 559
37 16 560
37 15 561
37 14 562
37 13 563
37 12 564
37 11 565
37 10 566
37 9 567
37 8 568
37 7 569
37 6 570
37 5 571
37 4 572
37 3 573
37 2 574
37 1 575
36 48 576
36 47 577
36 46 578
36 45 579
36 44 580
36 43 581
36 42 582
36 41 583
36 40 584
36 39 585
36 38 586
36 37 587
36 36 588
36 35 589
36 34 590
36 33 591
36 32 592
36 31 593
36 30 594
36 29 595
36 28 596
36 27 597
36 26 598
36 25 599
36 24 600
36 23 601
36 22 602
36 21 603
36 20 604
36 19 605
36 18 606
36 17 607
36 16 608
36 15 609
36 14 610
36 13 611
36 12 612
36 11 613
36 10 614
36 9 615
36 8 616
36 7 617
36 6 618
36 5 619
36 4 620
36 3 621
36 2 622
36 1 623
35 48 624
35 47 625
35 46 626
35 45 627
35 44 628
35 43 629
35 42 630
35 41 631
35 40 632
35 39 633
35 38 634
35 37 635
35 36 636
35 35 637
35 34 638
35 33 639
35 32 640
35 31 641
35 30 642
35 29 643
35 28 644
35 27 645
35 26 646
35 25 647
35 24 648
35 23 649
35 22 650
35 21 651
35 20 652
35 19 653
35 18 654
35 17 655
35 16 656
35 15 657
35 14 658
35 13 659
35 12 660
35 11 661
35 10 662
35 9 663
35 8 664
35 7 665
35 6 666
35 5 667
35 4 668
35 3 669
35 2 670
35 1 671
34 48 672
34 47 673
34 46 674
34 45 675
34 44 676
34 43 677
34 42 678
34 41 679
34 40 680
34 39 681
34 38 682
34 37 683
34 36 684
34 35 685
34 34 686
34 33 687
34 32 688
34 31 689
34 30 690
34 29 691
34 28 692
34 27 693
34 26 694
34 25 695
34 24 696
34 23 697
34 22 698
34 21 699
34 20 700
34 19 701
34 18 702
34 17 703
34 16 704
34 15 705
34 14 706
34 13 707
34 12 708
34 11 709
34 10 710
34 9 711
34 8 712
34 7 713
34 6 714
34 5 715
34 4 716
34 3 717
34 2 718
34 1 719
33 48 720
33 47 721
33 46 722
33 45 723
33 44 724
33 43 725
33 42 726
33 41 727
33 40 728
33 39 729
33 38 730
33 37 731
33 36 732
33 35 733
33 34 734
33 33 735
33 32 736
33 31 737
33 30 738
33 29 739
33 28 740
33 27 741
33 26 742
33 25 743
33 24 744
33 23 745
33 22 746
33 21 747
33 20 748
33 19 749
33 18 750
33 17 751
33 16 752
33 15 753
33 14 754
33 13 755
33 12 756
33 11 757
33 10 758
33 9 759
33 8 760
33 7 761
33 6 762
33 5 763
33 4 764
33 3 765
33 2 766
33 1 767
32 48 768
32 47 769
32 46 770
32 45 771
32 44 772
32 43 773
32 42 774
32 41 775
32 40 776
32 39 777
32 38 778
32 37 779
32 36 780
32 35 781
32 34 782
32 33 783
32 32 784
32 31 785
32 30 786
32 29 787
32 28 788
32 27 789
32 26 790
32 25 791
32 24 792
32 23 793
32 22 794
32 21 795
32 20 796
32 19 797
32 18 798
32 17 799
32 16 800
32 15 801
32 14 802
32 13 803
32 12 804
32 11 805
32 10 806
32 9 807
32 8 808
32 7 809
32 6 810
32 5 811
32 4 812
32 3 813
32 2 814
32 1 815
31 48 816
31 47 817
31 46 818
31 45 819
31 44 820
31 43 821
31 42 822
31 41 823
31 40 824
31 39 825
31 38 826
31 37 827
31 36 828
31 35 829
31 34 830
