k l mode
4 21 2139
4 20 2140
4 19 2141
4 18 2142
4 17 2143
4 16 2144
4 15 2145
4 14 2146
4 13 2147
4 12 2148
4 11 2149
4 10 2150
4 9 2151
4 8 2152
4 7 2153
4 6 2154
4 5 2155
4 4 2156
4 3 2157
4 2 2158
4 1 2159
3 48 2160
3 47 2161
3 46 2162
3 45 2163
3 44 2164
3 43 2165
3 42 2166
3 41 2167
3 40 2168
3 39 2169
3 38 2170
3 37 2171
3 36 2172
3 35 2173
3 34 2174
3 33 2175
3 32 2176
3 31 2177
3 30 2178
3 29 2179
3 28 2180
3 27 2181
3 26 2182
3 25 2183
3 24 2184
3 23 2185
3 22 2186
3 21 2187
3 20 2188
3 19 2189
3 18 2190
3 17 2191
3 16 2192
3 15 2193
3 14 2194
3 13 2195
3 12 2196
3 11 2197
3 10 2198
3 9 2199
3 8 2200
3 7 2201
3 6 2202
3 5 2203
3 4 2204
3 3 2205
3 2 2206
3 1 2207
2 48 2208
2 47 2209
2 46 2210
2 45 2211
2 44 2212
2 43 2213
2 42 2214
2 41 2215
2 40 2216
2 39 2217
2 38 2218
2 37 2219
2 36 2220
2 35 2221
2 34 2222
2 33 2223
2 32 2224
2 31 2225
2 30 2226
2 29 2227
2 28 2228
2 27 2229
2 26 2230
2 25 2231
2 24 2232
2 23 2233
2 22 2234
2 21 2235
2 20 2236
2 19 2237
2 18 2238
2 17 2239
2 16 2240
2 15 2241
2 14 2242
2 13 2243
2 12 2244
2 11 2245
2 10 2246
2 9 2247
2 8 2248
2 7 2249
2 6 2250
2 5 2251
2 4 2252
2 3 2253
2 2 2254
2 1 2255
1 48 2256
1 47 2257
1 46 2258
1 45 2259
1 44 2260
1 43 2261
1 42 2262
1 41 2263
1 40 2264
1 39 2265
1 38 2266
1 37 2267
1 36 2268
1 35 2269
1 34 2270
1 33 2271
1 32 2272
1 31 2273
1 30 2274
1 29 2275
1 28 2276
1 27 2277
1 26 2278
1 25 2279
1 24 2280
1 23 2281
1 22 2282
1 21 2283
1 20 2284
1 19 2285
1 18 2286
1 17 2287
1 16 2288
1 15 2289
1 14 2290
1 13 2291
1 12 2292
1 11 2293
1 10 2294
1 9 2295
1 8 2296
1 7 2297
1 6 2298
1 5 2299
1 4 2300
1 3 2301
1 2 2302
1 1 2303
